areaCode,areaName,areaType,date,newCasesByPublishDate
E92000001,England,nation,2022-03-02,32077
E92000001,England,nation,2022-03-01,26711
E92000001,England,nation,2022-02-28,60595
E92000001,England,nation,2022-02-27,0
E92000001,England,nation,2022-02-26,0
E92000001,England,nation,2022-02-25,23526
E92000001,England,nation,2022-02-24,28193
E92000001,England,nation,2022-02-23,29703
E92000001,England,nation,2022-02-22,30080
E92000001,England,nation,2022-02-21,29753
E92000001,England,nation,2022-02-20,23831
E92000001,England,nation,2022-02-19,32230
E92000001,England,nation,2022-02-18,36900
E92000001,England,nation,2022-02-17,40376
E92000001,England,nation,2022-02-16,42756
E92000001,England,nation,2022-02-15,36471
E92000001,England,nation,2022-02-14,31943
E92000001,England,nation,2022-02-13,32316
E92000001,England,nation,2022-02-12,37791
E92000001,England,nation,2022-02-11,46736
E92000001,England,nation,2022-02-10,53993
E92000001,England,nation,2022-02-09,59193
E92000001,England,nation,2022-02-08,58453
E92000001,England,nation,2022-02-07,48601
E92000001,England,nation,2022-02-06,49533
E92000001,England,nation,2022-02-05,57377
E92000001,England,nation,2022-02-04,73185
E92000001,England,nation,2022-02-03,77189
E92000001,England,nation,2022-02-02,81446
E92000001,England,nation,2022-02-01,103353
E92000001,England,nation,2022-01-31,81720
E92000001,England,nation,2022-01-30,59559
E92000001,England,nation,2022-01-29,69137
E92000001,England,nation,2022-01-28,78711
E92000001,England,nation,2022-01-27,85288
E92000001,England,nation,2022-01-26,90587
E92000001,England,nation,2022-01-25,84302
E92000001,England,nation,2022-01-24,77232
E92000001,England,nation,2022-01-23,68913
E92000001,England,nation,2022-01-22,73331
E92000001,England,nation,2022-01-21,85902
E92000001,England,nation,2022-01-20,95974
E92000001,England,nation,2022-01-19,96545
E92000001,England,nation,2022-01-18,84987
E92000001,England,nation,2022-01-17,74249
E92000001,England,nation,2022-01-16,66273
E92000001,England,nation,2022-01-15,74576
E92000001,England,nation,2022-01-14,87857
E92000001,England,nation,2022-01-13,97770
E92000001,England,nation,2022-01-12,116173
E92000001,England,nation,2022-01-11,104833
E92000001,England,nation,2022-01-10,115998
E92000001,England,nation,2022-01-09,121228
E92000001,England,nation,2022-01-08,130330
E92000001,England,nation,2022-01-07,149405
E92000001,England,nation,2022-01-06,152306
E92000001,England,nation,2022-01-05,150232
E92000001,England,nation,2022-01-04,148725
E92000001,England,nation,2022-01-03,137541
E92000001,England,nation,2022-01-02,123547
E92000001,England,nation,2022-01-01,162572
E92000001,England,nation,2021-12-31,160276
E92000001,England,nation,2021-12-30,146604
E92000001,England,nation,2021-12-29,138287
E92000001,England,nation,2021-12-28,117093
E92000001,England,nation,2021-12-27,98515
E92000001,England,nation,2021-12-26,103558
E92000001,England,nation,2021-12-25,113628
E92000001,England,nation,2021-12-24,105069
E92000001,England,nation,2021-12-23,107055
E92000001,England,nation,2021-12-22,95795
E92000001,England,nation,2021-12-21,80916
E92000001,England,nation,2021-12-20,76065
E92000001,England,nation,2021-12-19,71702
E92000001,England,nation,2021-12-18,82426
E92000001,England,nation,2021-12-17,83693
E92000001,England,nation,2021-12-16,77299
E92000001,England,nation,2021-12-15,68868
E92000001,England,nation,2021-12-14,53093
E92000001,England,nation,2021-12-13,44931
E92000001,England,nation,2021-12-12,40713
E92000001,England,nation,2021-12-11,48540
E92000001,England,nation,2021-12-10,48908
E92000001,England,nation,2021-12-09,43550
E92000001,England,nation,2021-12-08,44019
E92000001,England,nation,2021-12-07,38866
E92000001,England,nation,2021-12-06,41525
E92000001,England,nation,2021-12-05,37396
E92000001,England,nation,2021-12-04,39949
E92000001,England,nation,2021-12-03,43888
E92000001,England,nation,2021-12-02,45880
E92000001,England,nation,2021-12-01,41519
E92000001,England,nation,2021-11-30,33590
E92000001,England,nation,2021-11-29,34906
E92000001,England,nation,2021-11-28,32136
E92000001,England,nation,2021-11-27,35798
E92000001,England,nation,2021-11-26,42272
E92000001,England,nation,2021-11-25,40382
E92000001,England,nation,2021-11-24,36511
E92000001,England,nation,2021-11-23,36550
E92000001,England,nation,2021-11-22,36478
E92000001,England,nation,2021-11-21,33513
E92000001,England,nation,2021-11-20,36339
E92000001,England,nation,2021-11-19,37006
E92000001,England,nation,2021-11-18,39315
E92000001,England,nation,2021-11-17,30638
E92000001,England,nation,2021-11-16,30853
E92000001,England,nation,2021-11-15,31440
E92000001,England,nation,2021-11-14,29404
E92000001,England,nation,2021-11-13,33493
E92000001,England,nation,2021-11-12,33155
E92000001,England,nation,2021-11-11,35472
E92000001,England,nation,2021-11-10,31541
E92000001,England,nation,2021-11-09,27872
E92000001,England,nation,2021-11-08,24979
E92000001,England,nation,2021-11-07,23779
E92000001,England,nation,2021-11-06,26250
E92000001,England,nation,2021-11-05,28490
E92000001,England,nation,2021-11-04,30166
E92000001,England,nation,2021-11-03,34317
E92000001,England,nation,2021-11-02,28531
E92000001,England,nation,2021-11-01,32081
E92000001,England,nation,2021-10-31,31479
E92000001,England,nation,2021-10-30,36204
E92000001,England,nation,2021-10-29,36853
E92000001,England,nation,2021-10-28,33903
E92000001,England,nation,2021-10-27,37502
E92000001,England,nation,2021-10-26,32280
E92000001,England,nation,2021-10-25,33309
E92000001,England,nation,2021-10-24,33221
E92000001,England,nation,2021-10-23,41259
E92000001,England,nation,2021-10-22,41745
E92000001,England,nation,2021-10-21,44363
E92000001,England,nation,2021-10-20,41498
E92000001,England,nation,2021-10-19,36712
E92000001,England,nation,2021-10-18,39473
E92000001,England,nation,2021-10-17,38543
E92000001,England,nation,2021-10-16,39624
E92000001,England,nation,2021-10-15,37691
E92000001,England,nation,2021-10-14,38488
E92000001,England,nation,2021-10-13,36458
E92000001,England,nation,2021-10-12,33287
E92000001,England,nation,2021-10-11,32349
E92000001,England,nation,2021-10-10,31096
E92000001,England,nation,2021-10-09,31259
E92000001,England,nation,2021-10-08,32157
E92000001,England,nation,2021-10-07,33305
E92000001,England,nation,2021-10-06,33450
E92000001,England,nation,2021-10-05,28846
E92000001,England,nation,2021-10-04,28251
E92000001,England,nation,2021-10-03,25176
E92000001,England,nation,2021-10-02,26794
E92000001,England,nation,2021-10-01,28836
E92000001,England,nation,2021-09-30,29826
E92000001,England,nation,2021-09-29,29036
E92000001,England,nation,2021-09-28,28808
E92000001,England,nation,2021-09-27,29329
E92000001,England,nation,2021-09-26,25538
E92000001,England,nation,2021-09-25,28087
E92000001,England,nation,2021-09-24,28199
E92000001,England,nation,2021-09-23,29045
E92000001,England,nation,2021-09-22,27317
E92000001,England,nation,2021-09-21,24973
E92000001,England,nation,2021-09-20,26905
E92000001,England,nation,2021-09-19,22173
E92000001,England,nation,2021-09-18,22956
E92000001,England,nation,2021-09-17,23265
E92000001,England,nation,2021-09-16,22949
E92000001,England,nation,2021-09-15,22078
E92000001,England,nation,2021-09-14,19739
E92000001,England,nation,2021-09-13,21077
E92000001,England,nation,2021-09-12,19913
E92000001,England,nation,2021-09-11,23825
E92000001,England,nation,2021-09-10,26653
E92000001,England,nation,2021-09-09,27049
E92000001,England,nation,2021-09-08,29286
E92000001,England,nation,2021-09-07,27545
E92000001,England,nation,2021-09-06,27202
E92000001,England,nation,2021-09-05,27022
E92000001,England,nation,2021-09-04,29614
E92000001,England,nation,2021-09-03,31726
E92000001,England,nation,2021-09-02,28686
E92000001,England,nation,2021-09-01,24723
E92000001,England,nation,2021-08-31,20967
E92000001,England,nation,2021-08-30,21324
E92000001,England,nation,2021-08-29,22501
E92000001,England,nation,2021-08-28,25118
E92000001,England,nation,2021-08-27,27545
E92000001,England,nation,2021-08-26,29417
E92000001,England,nation,2021-08-25,27350
E92000001,England,nation,2021-08-24,23474
E92000001,England,nation,2021-08-23,24158
E92000001,England,nation,2021-08-22,25952
E92000001,England,nation,2021-08-21,26982
E92000001,England,nation,2021-08-20,29576
E92000001,England,nation,2021-08-19,29762
E92000001,England,nation,2021-08-18,28648
E92000001,England,nation,2021-08-17,22712
E92000001,England,nation,2021-08-16,23171
E92000001,England,nation,2021-08-15,22859
E92000001,England,nation,2021-08-14,26700
E92000001,England,nation,2021-08-13,28679
E92000001,England,nation,2021-08-12,28093
E92000001,England,nation,2021-08-11,26647
E92000001,England,nation,2021-08-10,20630
E92000001,England,nation,2021-08-09,21915
E92000001,England,nation,2021-08-08,24196
E92000001,England,nation,2021-08-07,25877
E92000001,England,nation,2021-08-06,28321
E92000001,England,nation,2021-08-05,26512
E92000001,England,nation,2021-08-04,26393
E92000001,England,nation,2021-08-03,19012
E92000001,England,nation,2021-08-02,19175
E92000001,England,nation,2021-08-01,21645
E92000001,England,nation,2021-07-31,23949
E92000001,England,nation,2021-07-30,26241
E92000001,England,nation,2021-07-29,27524
E92000001,England,nation,2021-07-28,24367
E92000001,England,nation,2021-07-27,20290
E92000001,England,nation,2021-07-26,22181
E92000001,England,nation,2021-07-25,25434
E92000001,England,nation,2021-07-24,28968
E92000001,England,nation,2021-07-23,32792
E92000001,England,nation,2021-07-22,35939
E92000001,England,nation,2021-07-21,39504
E92000001,England,nation,2021-07-20,43261
E92000001,England,nation,2021-07-19,34657
E92000001,England,nation,2021-07-18,44777
E92000001,England,nation,2021-07-17,50955
E92000001,England,nation,2021-07-16,47360
E92000001,England,nation,2021-07-15,44523
E92000001,England,nation,2021-07-14,37895
E92000001,England,nation,2021-07-13,32883
E92000001,England,nation,2021-07-12,30619
E92000001,England,nation,2021-07-11,28421
E92000001,England,nation,2021-07-10,29732
E92000001,England,nation,2021-07-09,31231
E92000001,England,nation,2021-07-08,28421
E92000001,England,nation,2021-07-07,27516
E92000001,England,nation,2021-07-06,25295
E92000001,England,nation,2021-07-05,23286
E92000001,England,nation,2021-07-04,20454
E92000001,England,nation,2021-07-03,21317
E92000001,England,nation,2021-07-02,22393
E92000001,England,nation,2021-07-01,22948
E92000001,England,nation,2021-06-30,21293
E92000001,England,nation,2021-06-29,16802
E92000001,England,nation,2021-06-28,18702
E92000001,England,nation,2021-06-27,11560
E92000001,England,nation,2021-06-26,15136
E92000001,England,nation,2021-06-25,13498
E92000001,England,nation,2021-06-24,13068
E92000001,England,nation,2021-06-23,12765
E92000001,England,nation,2021-06-22,9096
E92000001,England,nation,2021-06-21,8766
E92000001,England,nation,2021-06-20,7778
E92000001,England,nation,2021-06-19,8954
E92000001,England,nation,2021-06-18,9185
E92000001,England,nation,2021-06-17,9371
E92000001,England,nation,2021-06-16,7642
E92000001,England,nation,2021-06-15,6486
E92000001,England,nation,2021-06-14,6647
E92000001,England,nation,2021-06-13,6269
E92000001,England,nation,2021-06-12,6601
E92000001,England,nation,2021-06-11,6782
E92000001,England,nation,2021-06-10,6436
E92000001,England,nation,2021-06-09,6201
E92000001,England,nation,2021-06-08,5250
E92000001,England,nation,2021-06-07,4913
E92000001,England,nation,2021-06-06,4405
E92000001,England,nation,2021-06-05,4810
E92000001,England,nation,2021-06-04,5102
E92000001,England,nation,2021-06-03,4310
E92000001,England,nation,2021-06-02,3486
E92000001,England,nation,2021-06-01,2539
E92000001,England,nation,2021-05-31,2854
E92000001,England,nation,2021-05-30,2621
E92000001,England,nation,2021-05-29,2747
E92000001,England,nation,2021-05-28,3434
E92000001,England,nation,2021-05-27,2936
E92000001,England,nation,2021-05-26,2540
E92000001,England,nation,2021-05-25,2081
E92000001,England,nation,2021-05-24,1972
E92000001,England,nation,2021-05-23,1734
E92000001,England,nation,2021-05-22,2242
E92000001,England,nation,2021-05-21,2303
E92000001,England,nation,2021-05-20,2307
E92000001,England,nation,2021-05-19,2151
E92000001,England,nation,2021-05-18,2008
E92000001,England,nation,2021-05-17,1645
E92000001,England,nation,2021-05-16,1471
E92000001,England,nation,2021-05-15,1614
E92000001,England,nation,2021-05-14,1828
E92000001,England,nation,2021-05-13,2229
E92000001,England,nation,2021-05-12,1804
E92000001,England,nation,2021-05-11,2117
E92000001,England,nation,2021-05-10,2009
E92000001,England,nation,2021-05-09,1418
E92000001,England,nation,2021-05-08,1742
E92000001,England,nation,2021-05-07,2142
E92000001,England,nation,2021-05-06,2194
E92000001,England,nation,2021-05-05,1906
E92000001,England,nation,2021-05-04,1659
E92000001,England,nation,2021-05-03,1453
E92000001,England,nation,2021-05-02,1377
E92000001,England,nation,2021-05-01,1642
E92000001,England,nation,2021-04-30,2046
E92000001,England,nation,2021-04-29,2103
E92000001,England,nation,2021-04-28,1829
E92000001,England,nation,2021-04-27,2410
E92000001,England,nation,2021-04-26,1752
E92000001,England,nation,2021-04-25,1401
E92000001,England,nation,2021-04-24,1804
E92000001,England,nation,2021-04-23,2277
E92000001,England,nation,2021-04-22,2315
E92000001,England,nation,2021-04-21,1943
E92000001,England,nation,2021-04-20,2169
E92000001,England,nation,2021-04-19,2550
E92000001,England,nation,2021-04-18,1495
E92000001,England,nation,2021-04-17,1897
E92000001,England,nation,2021-04-16,2225
E92000001,England,nation,2021-04-15,2171
E92000001,England,nation,2021-04-14,2054
E92000001,England,nation,2021-04-13,2070
E92000001,England,nation,2021-04-12,3222
E92000001,England,nation,2021-04-11,1338
E92000001,England,nation,2021-04-10,2032
E92000001,England,nation,2021-04-09,2638
E92000001,England,nation,2021-04-08,2486
E92000001,England,nation,2021-04-07,2304
E92000001,England,nation,2021-04-06,1937
E92000001,England,nation,2021-04-05,2236
E92000001,England,nation,2021-04-04,1954
E92000001,England,nation,2021-04-03,2847
E92000001,England,nation,2021-04-02,2881
E92000001,England,nation,2021-04-01,3784
E92000001,England,nation,2021-03-31,3327
E92000001,England,nation,2021-03-30,3384
E92000001,England,nation,2021-03-29,4112
E92000001,England,nation,2021-03-28,3153
E92000001,England,nation,2021-03-27,3813
E92000001,England,nation,2021-03-26,5273
E92000001,England,nation,2021-03-25,5286
E92000001,England,nation,2021-03-24,4615
E92000001,England,nation,2021-03-23,4583
E92000001,England,nation,2021-03-22,4746
E92000001,England,nation,2021-03-21,4459
E92000001,England,nation,2021-03-20,4732
E92000001,England,nation,2021-03-19,3809
E92000001,England,nation,2021-03-18,5213
E92000001,England,nation,2021-03-17,4827
E92000001,England,nation,2021-03-16,4391
E92000001,England,nation,2021-03-15,4264
E92000001,England,nation,2021-03-14,3774
E92000001,England,nation,2021-03-13,4539
E92000001,England,nation,2021-03-12,5529
E92000001,England,nation,2021-03-11,5744
E92000001,England,nation,2021-03-10,4863
E92000001,England,nation,2021-03-09,4894
E92000001,England,nation,2021-03-08,3903
E92000001,England,nation,2021-03-07,4497
E92000001,England,nation,2021-03-06,5118
E92000001,England,nation,2021-03-05,5053
E92000001,England,nation,2021-03-04,5643
E92000001,England,nation,2021-03-03,5408
E92000001,England,nation,2021-03-02,5530
E92000001,England,nation,2021-03-01,4738
E92000001,England,nation,2021-02-28,5080
E92000001,England,nation,2021-02-27,6527
E92000001,England,nation,2021-02-26,7393
E92000001,England,nation,2021-02-25,8623
E92000001,England,nation,2021-02-24,8644
E92000001,England,nation,2021-02-23,7292
E92000001,England,nation,2021-02-22,9420
E92000001,England,nation,2021-02-21,8408
E92000001,England,nation,2021-02-20,8964
E92000001,England,nation,2021-02-19,10296
E92000001,England,nation,2021-02-18,10740
E92000001,England,nation,2021-02-17,10926
E92000001,England,nation,2021-02-16,9236
E92000001,England,nation,2021-02-15,8609
E92000001,England,nation,2021-02-14,9499
E92000001,England,nation,2021-02-13,11697
E92000001,England,nation,2021-02-12,13299
E92000001,England,nation,2021-02-11,12001
E92000001,England,nation,2021-02-10,11551
E92000001,England,nation,2021-02-09,10916
E92000001,England,nation,2021-02-08,12270
E92000001,England,nation,2021-02-07,14466
E92000001,England,nation,2021-02-06,16302
E92000001,England,nation,2021-02-05,17314
E92000001,England,nation,2021-02-04,18529
E92000001,England,nation,2021-02-03,17265
E92000001,England,nation,2021-02-02,15021
E92000001,England,nation,2021-02-01,16815
E92000001,England,nation,2021-01-31,19054
E92000001,England,nation,2021-01-30,21089
E92000001,England,nation,2021-01-29,26709
E92000001,England,nation,2021-01-28,26182
E92000001,England,nation,2021-01-27,22914
E92000001,England,nation,2021-01-26,17920
E92000001,England,nation,2021-01-25,20149
E92000001,England,nation,2021-01-24,27580
E92000001,England,nation,2021-01-23,30496
E92000001,England,nation,2021-01-22,37115
E92000001,England,nation,2021-01-21,34371
E92000001,England,nation,2021-01-20,35061
E92000001,England,nation,2021-01-19,30371
E92000001,England,nation,2021-01-18,34134
E92000001,England,nation,2021-01-17,35263
E92000001,England,nation,2021-01-16,37759
E92000001,England,nation,2021-01-15,50741
E92000001,England,nation,2021-01-14,44358
E92000001,England,nation,2021-01-13,42898
E92000001,England,nation,2021-01-12,41121
E92000001,England,nation,2021-01-11,41835
E92000001,England,nation,2021-01-10,50291
E92000001,England,nation,2021-01-09,54257
E92000001,England,nation,2021-01-08,61757
E92000001,England,nation,2021-01-07,46841
E92000001,England,nation,2021-01-06,56060
E92000001,England,nation,2021-01-05,54940
E92000001,England,nation,2021-01-04,53180
E92000001,England,nation,2021-01-03,46853
E92000001,England,nation,2021-01-02,49248
E92000001,England,nation,2021-01-01,50746
E92000001,England,nation,2020-12-31,49510
E92000001,England,nation,2020-12-30,43554
E92000001,England,nation,2020-12-29,47164
E92000001,England,nation,2020-12-28,36511
E92000001,England,nation,2020-12-27,25619
E92000001,England,nation,2020-12-26,31307
E92000001,England,nation,2020-12-25,31560
E92000001,England,nation,2020-12-24,35561
E92000001,England,nation,2020-12-23,34247
E92000001,England,nation,2020-12-22,32288
E92000001,England,nation,2020-12-21,28742
E92000001,England,nation,2020-12-20,32155
E92000001,England,nation,2020-12-19,22775
E92000001,England,nation,2020-12-18,24452
E92000001,England,nation,2020-12-17,22401
E92000001,England,nation,2020-12-16,23432
E92000001,England,nation,2020-12-15,16504
E92000001,England,nation,2020-12-14,17882
E92000001,England,nation,2020-12-13,17164
E92000001,England,nation,2020-12-12,17468
E92000001,England,nation,2020-12-11,17899
E92000001,England,nation,2020-12-10,17622
E92000001,England,nation,2020-12-09,12960
E92000001,England,nation,2020-12-08,10459
E92000001,England,nation,2020-12-07,11623
E92000001,England,nation,2020-12-06,14294
E92000001,England,nation,2020-12-05,12666
E92000001,England,nation,2020-12-04,13412
E92000001,England,nation,2020-12-03,11992
E92000001,England,nation,2020-12-02,13323
E92000001,England,nation,2020-12-01,11618
E92000001,England,nation,2020-11-30,10869
E92000001,England,nation,2020-11-29,10054
E92000001,England,nation,2020-11-28,13323
E92000001,England,nation,2020-11-27,13557
E92000001,England,nation,2020-11-26,14637
E92000001,England,nation,2020-11-25,15893
E92000001,England,nation,2020-11-24,9854
E92000001,England,nation,2020-11-23,13329
E92000001,England,nation,2020-11-22,16668
E92000001,England,nation,2020-11-21,17615
E92000001,England,nation,2020-11-20,17845
E92000001,England,nation,2020-11-19,20291
E92000001,England,nation,2020-11-18,17189
E92000001,England,nation,2020-11-17,17549
E92000001,England,nation,2020-11-16,19423
E92000001,England,nation,2020-11-15,21998
E92000001,England,nation,2020-11-14,24298
E92000001,England,nation,2020-11-13,24540
E92000001,England,nation,2020-11-12,30843
E92000001,England,nation,2020-11-11,19970
E92000001,England,nation,2020-11-10,18622
E92000001,England,nation,2020-11-09,19036
E92000001,England,nation,2020-11-08,18293
E92000001,England,nation,2020-11-07,21875
E92000001,England,nation,2020-11-06,20268
E92000001,England,nation,2020-11-05,21137
E92000001,England,nation,2020-11-04,21863
E92000001,England,nation,2020-11-03,17330
E92000001,England,nation,2020-11-02,15860
E92000001,England,nation,2020-11-01,20602
E92000001,England,nation,2020-10-31,18864
E92000001,England,nation,2020-10-30,20821
E92000001,England,nation,2020-10-29,19740
