areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E92000001,England,nation,2022-03-01,6
E92000001,England,nation,2022-02-28,30
E92000001,England,nation,2022-02-27,50
E92000001,England,nation,2022-02-26,49
E92000001,England,nation,2022-02-25,55
E92000001,England,nation,2022-02-24,71
E92000001,England,nation,2022-02-23,61
E92000001,England,nation,2022-02-22,66
E92000001,England,nation,2022-02-21,79
E92000001,England,nation,2022-02-20,105
E92000001,England,nation,2022-02-19,89
E92000001,England,nation,2022-02-18,87
E92000001,England,nation,2022-02-17,102
E92000001,England,nation,2022-02-16,117
E92000001,England,nation,2022-02-15,120
E92000001,England,nation,2022-02-14,126
E92000001,England,nation,2022-02-13,122
E92000001,England,nation,2022-02-12,128
E92000001,England,nation,2022-02-11,118
E92000001,England,nation,2022-02-10,142
E92000001,England,nation,2022-02-09,132
E92000001,England,nation,2022-02-08,142
E92000001,England,nation,2022-02-07,141
E92000001,England,nation,2022-02-06,162
E92000001,England,nation,2022-02-05,175
E92000001,England,nation,2022-02-04,161
E92000001,England,nation,2022-02-03,192
E92000001,England,nation,2022-02-02,205
E92000001,England,nation,2022-02-01,220
E92000001,England,nation,2022-01-31,216
E92000001,England,nation,2022-01-30,214
E92000001,England,nation,2022-01-29,237
E92000001,England,nation,2022-01-28,220
E92000001,England,nation,2022-01-27,260
E92000001,England,nation,2022-01-26,235
E92000001,England,nation,2022-01-25,210
E92000001,England,nation,2022-01-24,252
E92000001,England,nation,2022-01-23,222
E92000001,England,nation,2022-01-22,252
E92000001,England,nation,2022-01-21,273
E92000001,England,nation,2022-01-20,227
E92000001,England,nation,2022-01-19,242
E92000001,England,nation,2022-01-18,248
E92000001,England,nation,2022-01-17,258
E92000001,England,nation,2022-01-16,248
E92000001,England,nation,2022-01-15,254
E92000001,England,nation,2022-01-14,247
E92000001,England,nation,2022-01-13,235
E92000001,England,nation,2022-01-12,221
E92000001,England,nation,2022-01-11,246
E92000001,England,nation,2022-01-10,250
E92000001,England,nation,2022-01-09,232
E92000001,England,nation,2022-01-08,217
E92000001,England,nation,2022-01-07,229
E92000001,England,nation,2022-01-06,221
E92000001,England,nation,2022-01-05,194
E92000001,England,nation,2022-01-04,180
E92000001,England,nation,2022-01-03,160
E92000001,England,nation,2022-01-02,156
E92000001,England,nation,2022-01-01,162
E92000001,England,nation,2021-12-31,148
E92000001,England,nation,2021-12-30,174
E92000001,England,nation,2021-12-29,103
E92000001,England,nation,2021-12-28,147
E92000001,England,nation,2021-12-27,124
E92000001,England,nation,2021-12-26,108
E92000001,England,nation,2021-12-25,91
E92000001,England,nation,2021-12-24,115
E92000001,England,nation,2021-12-23,122
E92000001,England,nation,2021-12-22,115
E92000001,England,nation,2021-12-21,88
E92000001,England,nation,2021-12-20,101
E92000001,England,nation,2021-12-19,90
E92000001,England,nation,2021-12-18,92
E92000001,England,nation,2021-12-17,113
E92000001,England,nation,2021-12-16,90
E92000001,England,nation,2021-12-15,94
E92000001,England,nation,2021-12-14,110
E92000001,England,nation,2021-12-13,91
E92000001,England,nation,2021-12-12,105
E92000001,England,nation,2021-12-11,78
E92000001,England,nation,2021-12-10,93
E92000001,England,nation,2021-12-09,103
E92000001,England,nation,2021-12-08,97
E92000001,England,nation,2021-12-07,94
E92000001,England,nation,2021-12-06,112
E92000001,England,nation,2021-12-05,91
E92000001,England,nation,2021-12-04,118
E92000001,England,nation,2021-12-03,111
E92000001,England,nation,2021-12-02,84
E92000001,England,nation,2021-12-01,104
E92000001,England,nation,2021-11-30,88
E92000001,England,nation,2021-11-29,107
E92000001,England,nation,2021-11-28,91
E92000001,England,nation,2021-11-27,87
E92000001,England,nation,2021-11-26,107
E92000001,England,nation,2021-11-25,111
E92000001,England,nation,2021-11-24,98
E92000001,England,nation,2021-11-23,120
E92000001,England,nation,2021-11-22,93
E92000001,England,nation,2021-11-21,89
E92000001,England,nation,2021-11-20,100
E92000001,England,nation,2021-11-19,104
E92000001,England,nation,2021-11-18,113
E92000001,England,nation,2021-11-17,99
E92000001,England,nation,2021-11-16,130
E92000001,England,nation,2021-11-15,137
E92000001,England,nation,2021-11-14,103
E92000001,England,nation,2021-11-13,110
E92000001,England,nation,2021-11-12,119
E92000001,England,nation,2021-11-11,121
E92000001,England,nation,2021-11-10,118
E92000001,England,nation,2021-11-09,125
E92000001,England,nation,2021-11-08,128
E92000001,England,nation,2021-11-07,135
E92000001,England,nation,2021-11-06,138
E92000001,England,nation,2021-11-05,126
E92000001,England,nation,2021-11-04,120
E92000001,England,nation,2021-11-03,129
E92000001,England,nation,2021-11-02,128
E92000001,England,nation,2021-11-01,137
E92000001,England,nation,2021-10-31,155
E92000001,England,nation,2021-10-30,133
E92000001,England,nation,2021-10-29,130
E92000001,England,nation,2021-10-28,155
E92000001,England,nation,2021-10-27,133
E92000001,England,nation,2021-10-26,131
E92000001,England,nation,2021-10-25,115
E92000001,England,nation,2021-10-24,119
E92000001,England,nation,2021-10-23,132
E92000001,England,nation,2021-10-22,104
E92000001,England,nation,2021-10-21,114
E92000001,England,nation,2021-10-20,119
E92000001,England,nation,2021-10-19,103
E92000001,England,nation,2021-10-18,95
E92000001,England,nation,2021-10-17,104
E92000001,England,nation,2021-10-16,97
E92000001,England,nation,2021-10-15,107
E92000001,England,nation,2021-10-14,110
E92000001,England,nation,2021-10-13,89
E92000001,England,nation,2021-10-12,87
E92000001,England,nation,2021-10-11,93
E92000001,England,nation,2021-10-10,70
E92000001,England,nation,2021-10-09,92
E92000001,England,nation,2021-10-08,96
E92000001,England,nation,2021-10-07,92
E92000001,England,nation,2021-10-06,76
E92000001,England,nation,2021-10-05,87
E92000001,England,nation,2021-10-04,82
E92000001,England,nation,2021-10-03,75
E92000001,England,nation,2021-10-02,75
E92000001,England,nation,2021-10-01,98
