Date,Local Authority,National Lockdown,Circuit Breaker,Local Restrictions,All Schools Closed,Pfizer Vaccine Approved,Astrazeneca Vaccine Approved,Moderna Vaccine Approved,Pfizer Vaccine Rollout,Astrazeneca Vaccine Rollout,Moderna Vaccine Rollout,Second Dose Rollout,Booster Vaccine Rollout,Vaccines Available 80+,Vaccines Available 70+,Vaccines Available 60+,Vaccines Available 50+,Vaccines Available 40+,Vaccines Available 30+,Vaccines Available 20+,Vaccines Available 18+
2020-03-23,Antrim and Newtownabbey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,Antrim and Newtownabbey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,Antrim and Newtownabbey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,Antrim and Newtownabbey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,Antrim and Newtownabbey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,Antrim and Newtownabbey,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-11,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-16,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,Antrim and Newtownabbey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
